,Unnamed: 0,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
398,398,soy proteins concentrate,93,0.1,0.04,0.092,0.099,7.2,0,18,1.6,0,0.3,1.6,0,0.076,0.087,0,0.078,0.2,0.007,0.015,0,0,0,0,102.7,0.3,3.1,39.6,1.2,237.4,127.4,0.019,1.2,132.7
399,399,soybean margarine,34,3.8,0.8,1.8,1,0.043,0,0.052,0,0,0.005,0.7,0.067,0.06,0.013,0.049,0.051,0.033,0.012,0.054,0.077,0,0.1,0,1.4,0,0,0.1,0,1.1,2,0,0,5.309
400,400,chocolate soymilk nonfat,107,0.046,0,0,0.012,20.7,8.9,6,0.5,0,0.1,214.8,0.1,0.001,0.03,0.005,0.4,1.2,0,0.037,0,0.062,0.3,0.021,281.9,0.5,0.9,24.3,0,211.4,255.2,0.027,0.2,310.107
401,401,okara,93,2.1,0.2,0.4,0.9,15.3,0,3.9,0,0,0.07,99.6,0,0,0.035,0.017,0,0.063,0.1,0.1,0.1,0,0,0,0,97.6,0.2,1.6,31.7,0.5,73.2,259.9,0.048,21.6
402,402,meatless meatballs,284,13,2.1,3.2,6.7,11.5,1.8,30.2,6.6,0,0.8,83.5,0,1.4,0.1,0.073,0.3,3.6,0.7,0.3,0,0,2.5,0,36,1,3.1,25.9,0,495.4,259.2,0.016,2.6,100.4
403,403,vanilla soymilk,131,4.3,0.5,1,2.3,15.3,9.7,7.9,1.5,0,0.1,214,0,0.1,0.032,0,0.2,1.2,0.9,0.2,0,0,0.3,0.042,60.8,0.3,1.6,60.8,0.5,126.4,286.7,0.08,0.3,91.4
404,404,soy meal raw,414,2.9,0.3,0.5,1.3,49,0,54.8,0,0,0.017,8.5,0,0.8,0.4,0,0.3,3.2,2.4,0.7,0,0,0,0,297.7,2.4,16.7,373.3,4.6,855.2,3037.8,0.018,6.2,421.1
405,405,soymilk low fat,104,1.5,0,0.5,1,17.5,8.5,4,1.9,0,0.04,218.4,0,0,0,0,0,0,0,0,0,0.032,0,0,199.3,0,1.1,0,0,150.7,155.5,0,0,225.3
406,406,sprouted soybean raw,85,4.7,0.7,1.1,2.6,6.7,0,9.2,0.8,0,0.005,48.3,0,0,0.2,0.1,0,0.045,0.8,0.7,0.1,10.7,0,0,0,46.9,0.3,1.5,50.4,0.5,114.8,338.8,0.045,21.8
407,407,soybean raw,830,37.1,5.4,8.2,20.9,56.1,13.6,67.9,17.3,0,0.023,15.9,0,1.6,0.7,0,1.6,3,1.5,0.7,11.2,0,1.6,0.099,515.2,3.1,29.2,520.8,4.7,1309.4,3342.4,0.071,9.1,734
408,408,tempeh cooked,55,3.2,1,1.1,0.7,2.6,0,5.1,0,0,0.084,16.9,0,0.021,0.022,0.07,0.1,0.6,0.1,0.079,0,0,0,0,27.2,0.2,0.6,21.8,0.4,71.6,113.5,0,0.4,38.7
409,409,vanilla soymilk light,83,2.1,0.2,0.6,1.4,9.4,1,6.4,1.5,0,0.2,223.6,0,0,0.062,0.09,0.4,0,0,0,0,0.025,0,0,298.9,0,1.1,31.6,0,250.3,284.3,0,0.2,319.4
410,410,chocolate soymilk,153,3.7,0.6,0.9,2,24.2,19.1,5.5,1,0,0.1,208,0,0.2,0.098,0.079,0.056,0.6,1.2,0.2,0.2,4.1,0.026,0.3,0.074,306.2,0.5,1.2,36.5,0,123.9,347.5,0.023,35.156
411,411,soy oil,120,13.6,3.4,8.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.076,0,0,0,0,0,0,0,0,0,13.6
412,412,natto,169,8.8,1.3,1.9,5,11.5,3.9,14.2,4.3,0,0.026,44,0,0,0.1,0.089,0,0.2,0,0.2,0.1,10.4,0,0.009,0.085,173.6,0.5,6.9,92,1.2,139.2,583.2,0.033,39.429
413,413,chrysanthemum raw,12,0.3,0,0,0,1.5,0,1.7,1.5,0,0.012,46.6,0,0,0.07,0.084,0,0.097,0.3,0.1,0.061,0.7,0,0,0.2,59.7,0.044,1.2,16.3,0.5,27.5,289.2,0,5.285
414,414,gourd cooked,100,0.6,0.035,0.1,0.3,25.5,9.2,1.2,5.2,0,0.065,150,0,0,0.092,0.036,0,0.036,0.5,0.9,0.2,10.1,0,0.4,0.03,16,0.2,0.6,35.6,0.4,55.2,806.3,0.021,32.903
415,415,cauliflower raw,3,0.081,0.094,0.061,0.07,0.6,0.2,0.2,0.3,0,0.042,12,0,0,0.085,0.012,0,0.082,0.014,0.087,0.019,6.3,0,0.055,0.033,2.9,0.01,0.077,2,0.003,5.7,38.9,0.05,1.337
416,416,red cabbage raw,53,0.3,0.002,0.028,0.1,12.5,6.5,2.4,3.6,0,0.079,153.7,0,0.1,0.088,0,0.1,0.7,0.2,0.4,96.9,0,0.2,0.082,76.5,0.004,1.4,27.2,0.4,51,413.1,0.039,0.4,193.6
417,417,broccoli raab raw,9,0.2,0.047,0.027,0.097,1.1,0.2,1.3,1.1,0,0.04,37,0,0,0.06,0.039,0,0.056,0.5,0.1,0.064,8.1,0,0.6,0.074,43.2,0.022,0.9,8.8,0.2,29.2,78.4,0.072,3.861
418,418,napa cabbage cooked,13,0.2,0,0,0,2.4,0,1.2,0,0,0.012,105,0,0.051,0.094,0,0.096,0.5,0.07,0.052,3.5,0,0,0,31.6,0.1,0.8,8.7,0.2,20.7,94.8,0.025,0.2,39.7
419,419,kelp,2,0.067,0.037,0.064,0.044,0.5,0.069,0.07,0.018,0,0.019,4.1,0,0.031,0.006,0,0.005,0.027,0.061,0.07,0.2,0,0.04,0.015,8.4,0.021,0.1,6.1,0.017,2.1,4.5,0.07,0.038,9.303
